Time,Temperature_Fahrenheit,Relative_Humidity
2021-05-03 20:49:00,76.82,61.5
2021-05-03 21:19:00,73.22,67.1
2021-05-03 21:49:00,72.86,66.8
2021-05-03 22:19:00,72.68,66.3
2021-05-03 22:49:00,72.5,65.1
2021-05-03 23:19:00,72.32,64.1
2021-05-03 23:49:00,71.96,63.1
2021-05-04 00:19:00,71.6,62.3
2021-05-04 00:49:00,71.42,62.2
2021-05-04 01:19:00,71.06,61.7
2021-05-04 01:49:00,70.88,61.5
2021-05-04 02:19:00,70.52,64
2021-05-04 02:49:00,69.98,65.7
2021-05-04 03:19:00,69.44,67.1
2021-05-04 03:49:00,68.72,68.5
2021-05-04 04:19:00,68.36,69.5
2021-05-04 04:49:00,67.82,70.2
2021-05-04 05:19:00,67.64,69.7
2021-05-04 05:49:00,67.82,68.6
2021-05-04 06:19:00,67.82,67.3
2021-05-04 06:49:00,67.64,66.6
2021-05-04 07:19:00,70.16,64.9
2021-05-04 07:49:00,68.36,66.5
2021-05-04 08:19:00,68.72,68.2
2021-05-04 08:49:00,69.98,68.7
2021-05-04 09:19:00,70.52,68.6
2021-05-04 09:49:00,71.06,68.6
2021-05-04 10:19:00,71.6,68.8
2021-05-04 10:49:00,72.14,69
2021-05-04 11:19:00,72.68,69
2021-05-04 11:49:00,73.22,69.1
2021-05-04 12:19:00,73.4,68.9
2021-05-04 12:49:00,73.58,69
2021-05-04 13:19:00,77,69.1
2021-05-04 13:49:00,74.48,68.6
2021-05-04 14:19:00,73.04,70.5
2021-05-04 14:49:00,73.04,71.1
2021-05-04 15:19:00,72.86,72
2021-05-04 15:49:00,72.86,71.3
2021-05-04 16:19:00,72.86,69.4
2021-05-04 16:49:00,72.86,68.4
2021-05-04 17:19:00,73.58,66.9
2021-05-04 17:49:00,73.22,65.2
2021-05-04 18:19:00,72.68,64.4
2021-05-04 18:49:00,72.14,63.8
2021-05-04 19:19:00,71.78,63.4
2021-05-04 19:49:00,71.42,63
2021-05-04 20:19:00,71.06,62.6
2021-05-04 20:49:00,70.7,62.3
2021-05-04 21:19:00,70.34,62
2021-05-04 21:49:00,70.16,61.8
2021-05-04 22:19:00,69.98,62
2021-05-04 22:49:00,69.8,62.3
2021-05-04 23:19:00,69.8,62.6
2021-05-04 23:49:00,69.62,62.7
2021-05-05 00:19:00,69.62,62.9
2021-05-05 00:49:00,69.44,63.1
2021-05-05 01:19:00,69.44,63.4
2021-05-05 01:49:00,69.26,63.6
2021-05-05 02:19:00,69.26,63.8
2021-05-05 02:49:00,69.26,64.1
2021-05-05 03:19:00,69.08,64.3
2021-05-05 03:49:00,69.08,64.3
2021-05-05 04:19:00,69.08,64.6
2021-05-05 04:49:00,69.26,64.7
2021-05-05 05:19:00,69.44,64.8
2021-05-05 05:49:00,69.62,64.9
2021-05-05 06:19:00,69.62,65
2021-05-05 06:49:00,69.62,65.1
2021-05-05 07:19:00,69.8,65.2
2021-05-05 07:49:00,70.34,65.4
2021-05-05 08:19:00,71.06,66.2
2021-05-05 08:49:00,71.6,67.3
2021-05-05 09:19:00,72.14,67.8
2021-05-05 09:49:00,73.04,66.9
2021-05-05 10:19:00,73.76,66.9
2021-05-05 10:49:00,75.02,66
2021-05-05 11:19:00,75.2,64.9
2021-05-05 11:49:00,74.66,64.5
2021-05-05 12:19:00,75.2,63.5
2021-05-05 12:49:00,75.56,62.4
2021-05-05 13:19:00,75.92,62.4
2021-05-05 13:49:00,77,61.4
2021-05-05 14:19:00,77.9,60.2
2021-05-05 14:49:00,78.98,58.9
2021-05-05 15:19:00,79.16,58.6
2021-05-05 15:49:00,78.44,59.3
2021-05-05 16:19:00,77.54,60.3
2021-05-05 16:49:00,77,60.6
2021-05-05 17:19:00,76.1,60.3
2021-05-05 17:49:00,75.38,60.2
2021-05-05 18:19:00,74.66,60.3
2021-05-05 18:49:00,73.94,60.3
2021-05-05 19:19:00,73.4,60.2
2021-05-05 19:49:00,72.86,60.1
