Time,Pasha-In-Botero-Temp,Pasha-In_Botero-RH
2021-06-23 00:13:00,75.38,63.8
2021-06-23 00:43:00,74.84,64.2
2021-06-23 01:13:00,74.48,64.7
2021-06-23 01:43:00,74.12,65.3
2021-06-23 02:13:00,73.76,65.8
2021-06-23 02:43:00,73.4,66.3
2021-06-23 03:13:00,73.04,66.6
2021-06-23 03:43:00,72.68,66.8
2021-06-23 04:13:00,72.32,66.9
2021-06-23 04:43:00,71.78,66.9
2021-06-23 05:13:00,71.42,67.1
2021-06-23 05:43:00,71.06,67.3
2021-06-23 06:13:00,70.88,67.9
2021-06-23 06:43:00,70.34,67.7
2021-06-23 07:13:00,69.8,68
2021-06-23 07:43:00,68,62.9
2021-06-23 08:13:00,68.72,64.3
2021-06-23 08:43:00,68.9,63.5
2021-06-23 09:13:00,69.08,63.3
2021-06-23 09:43:00,78.98,66.4
2021-06-23 10:13:00,86.18,54.7
2021-06-23 10:43:00,89.24,51.3
2021-06-23 11:13:00,89.24,50
2021-06-23 11:43:00,87.44,52.6
2021-06-23 12:13:00,92.3,45.9
2021-06-23 12:43:00,86.18,54.2
2021-06-23 13:13:00,85.46,58.2
2021-06-23 13:43:00,85.1,56.9
2021-06-23 14:13:00,81.86,62.6
2021-06-23 14:43:00,83.66,60.1
2021-06-23 15:13:00,83.48,58.8
2021-06-23 15:43:00,84.2,52.8
2021-06-23 16:13:00,84.56,46.5
2021-06-23 16:43:00,84.74,42.5
2021-06-23 17:13:00,85.1,39.1
2021-06-23 17:43:00,85.28,38.3
2021-06-23 18:13:00,85.46,35
2021-06-23 18:43:00,85.82,36.5
2021-06-23 19:13:00,85.46,36.1
2021-06-23 19:43:00,84.92,39.1
2021-06-23 20:13:00,84.2,35.4
2021-06-23 20:43:00,83.66,34.3
2021-06-23 21:13:00,82.94,33.4
2021-06-23 21:43:00,82.4,32.6
2021-06-23 22:13:00,81.86,31.9
2021-06-23 22:43:00,81.32,31.1
2021-06-23 23:13:00,80.96,30.5
2021-06-23 23:43:00,80.42,29.9
2021-06-24 00:13:00,80.06,29.3
2021-06-24 00:43:00,79.7,28.8
2021-06-24 01:13:00,79.16,28.3
2021-06-24 01:43:00,78.98,27.8
2021-06-24 02:13:00,78.44,27.4
2021-06-24 02:43:00,78.08,27.1
2021-06-24 03:13:00,77.72,26.7
2021-06-24 03:43:00,77.36,26.4
2021-06-24 04:13:00,77.18,26
2021-06-24 04:43:00,76.64,25.7
2021-06-24 05:13:00,76.46,25.5
2021-06-24 05:43:00,76.28,25.2
2021-06-24 06:13:00,75.92,25
2021-06-24 06:43:00,75.74,24.7
2021-06-24 07:13:00,75.92,24.3
2021-06-24 07:43:00,76.28,23.9
2021-06-24 08:13:00,77.18,23.3
2021-06-24 08:43:00,78.08,22.7
2021-06-24 09:13:00,79.34,22
2021-06-24 09:43:00,80.6,21.4
2021-06-24 10:13:00,81.86,20.8
2021-06-24 10:43:00,82.94,20.5
2021-06-24 11:13:00,83.66,20.7
2021-06-24 11:43:00,84.56,20.7
2021-06-24 12:13:00,85.64,20.4
