Time,M2-OUT-Temp,M2-OUT-RH
2021-06-22 10:42:00,75.38,56
2021-06-22 11:12:00,75.92,54.4
2021-06-22 11:42:00,75.56,54.5
2021-06-22 12:12:00,75.56,54.4
2021-06-22 12:42:00,75.74,53.9
2021-06-22 13:12:00,75.92,53.5
2021-06-22 13:42:00,76.28,53
2021-06-22 14:12:00,76.28,52.9
2021-06-22 14:42:00,76.46,52.6
2021-06-22 15:12:00,76.64,52.3
2021-06-22 15:42:00,76.64,52
2021-06-22 16:12:00,76.64,51.8
2021-06-22 16:42:00,76.46,51.8
2021-06-22 17:12:00,76.1,52
2021-06-22 17:42:00,75.74,52.3
2021-06-22 18:12:00,75.38,52.5
2021-06-22 18:42:00,74.84,52.8
2021-06-22 19:12:00,74.66,53
2021-06-22 19:42:00,74.12,53.1
2021-06-22 20:12:00,73.76,53.3
2021-06-22 20:42:00,73.4,53.5
2021-06-22 21:12:00,73.04,53.6
2021-06-22 21:42:00,72.5,53.7
2021-06-22 22:12:00,72.32,53.8
2021-06-22 22:42:00,72.14,53.8
2021-06-22 23:12:00,71.78,53.9
2021-06-22 23:42:00,71.6,54
2021-06-23 00:12:00,71.24,54
2021-06-23 00:42:00,71.24,54.2
2021-06-23 01:12:00,71.06,54.5
2021-06-23 01:42:00,70.88,55
2021-06-23 02:12:00,70.88,55.5
2021-06-23 02:42:00,70.7,55.7
2021-06-23 03:12:00,70.7,56
2021-06-23 03:42:00,70.52,56.3
2021-06-23 04:12:00,70.34,56.6
2021-06-23 04:42:00,70.16,56.8
2021-06-23 05:12:00,70.16,57.1
2021-06-23 05:42:00,70.16,57.4
2021-06-23 06:12:00,70.16,57.6
2021-06-23 06:42:00,69.98,57.9
2021-06-23 07:12:00,70.16,57.9
2021-06-23 07:42:00,70.34,58
2021-06-23 08:12:00,70.7,58.1
2021-06-23 08:42:00,71.24,57.9
2021-06-23 09:12:00,71.42,57.5
2021-06-23 09:42:00,71.6,57
2021-06-23 10:12:00,71.96,56.6
2021-06-23 10:42:00,72.32,56
2021-06-23 11:12:00,72.68,55.7
2021-06-23 11:42:00,73.22,55.2
2021-06-23 12:12:00,73.76,54.7
2021-06-23 12:42:00,73.94,54.3
2021-06-23 13:12:00,74.84,53.6
2021-06-23 13:42:00,75.56,53
2021-06-23 14:12:00,76.28,53.5
2021-06-23 14:42:00,76.64,52.9
2021-06-23 15:12:00,77.18,52.4
2021-06-23 15:42:00,77.36,51.9
2021-06-23 16:12:00,77.54,51.6
2021-06-23 16:42:00,77.36,51.4
2021-06-23 17:12:00,77.18,51.5
2021-06-23 17:42:00,76.82,51.7
2021-06-23 18:12:00,76.64,52
2021-06-23 18:42:00,76.1,52.3
2021-06-23 19:12:00,75.56,52.7
2021-06-23 19:42:00,74.84,52.9
2021-06-23 20:12:00,74.48,53.2
2021-06-23 20:42:00,73.94,53.3
2021-06-23 21:12:00,73.58,53.3
2021-06-23 21:42:00,73.04,53.4
