Time,Temperature_Fahrenheit,Relative_Humidity
2021-06-22 12:34:00,79.7,58.5
2021-07-14 22:34:00,73.94,75.4
2021-07-14 23:04:00,73.4,75.5
2021-07-14 23:34:00,73.22,75.8
2021-07-15 00:04:00,73.22,76.2
2021-07-15 00:34:00,72.68,75.8
2021-07-15 01:04:00,72.32,75.8
2021-07-15 01:34:00,72.14,76.1
2021-07-15 02:04:00,71.78,75.4
2021-07-15 02:34:00,71.42,75.6
2021-07-15 03:04:00,70.88,75.1
2021-07-15 03:34:00,70.34,74
2021-07-15 04:04:00,69.98,73.7
2021-07-15 04:34:00,69.62,73.9
2021-07-15 05:04:00,69.26,73.3
2021-07-15 05:34:00,69.08,73
2021-07-15 06:04:00,68.72,72.7
2021-07-15 06:34:00,68.9,73
2021-07-15 07:04:00,70.52,73.3
2021-07-15 07:34:00,71.96,71.9
2021-07-15 08:04:00,73.4,73
2021-07-15 08:34:00,74.84,73.2
2021-07-15 09:04:00,75.92,72.5
2021-07-15 09:34:00,76.46,71.5
2021-07-15 10:04:00,77.72,70.5
2021-07-15 10:34:00,78.8,68.9
2021-07-15 11:04:00,78.98,68.6
2021-07-15 11:34:00,79.16,68.2
2021-07-15 12:04:00,79.7,67.5
2021-07-15 12:34:00,80.42,66.7
2021-07-15 13:04:00,79.88,67.2
2021-07-15 13:34:00,79.7,67.5
2021-07-15 14:04:00,79.7,67.3
2021-07-15 14:34:00,79.88,66.6
2021-07-15 15:04:00,80.06,66.7
2021-07-15 15:34:00,80.6,66.1
2021-07-15 16:04:00,81.32,66.2
2021-07-15 16:34:00,81.14,66.7
2021-07-15 17:04:00,80.78,66.6
2021-07-15 17:34:00,80.42,66.5
2021-07-15 18:04:00,80.06,66.5
2021-07-15 18:34:00,79.7,66.9
2021-07-15 19:04:00,79.34,67.1
2021-07-15 19:34:00,78.8,67.1
2021-07-15 20:04:00,77.9,67.7
2021-07-15 20:34:00,77.18,68.2
2021-07-15 21:04:00,76.46,68.6
2021-07-15 21:34:00,76.1,68.9
2021-07-15 22:04:00,75.38,69.4
2021-07-15 22:34:00,75.02,69.8
2021-07-15 23:04:00,75.2,69.7
2021-07-15 23:34:00,75.2,69.8
2021-07-16 00:04:00,75.02,70.1
2021-07-16 00:34:00,75.2,70.5
2021-07-16 01:04:00,75.02,70.5
2021-07-16 01:34:00,74.66,71.1
2021-07-16 02:04:00,74.12,71.6
2021-07-16 02:34:00,73.76,72.5
2021-07-16 03:04:00,73.58,72.4
2021-07-16 03:34:00,73.58,72.3
2021-07-16 04:04:00,73.04,73.1
2021-07-16 04:34:00,72.32,73.3
2021-07-16 05:04:00,72.32,73.7
2021-07-16 05:34:00,71.78,74.2
2021-07-16 06:04:00,71.24,73.6
2021-07-16 06:34:00,71.42,73.7
2021-07-16 07:04:00,72.86,72.1
2021-07-16 07:34:00,73.94,71.3
2021-07-16 08:04:00,75.2,70.9
2021-07-16 08:34:00,75.92,71
2021-07-16 09:04:00,76.1,71.1
2021-07-16 09:34:00,76.46,70.9
2021-07-16 10:04:00,77.18,70
2021-07-16 10:34:00,77.72,69.3
2021-07-16 11:04:00,78.08,68.4
2021-07-16 11:34:00,78.26,68
2021-07-16 12:04:00,78.62,67.5
2021-07-16 12:34:00,78.98,67.2
2021-07-16 13:04:00,79.88,66.1
2021-07-16 13:34:00,80.06,65.5
2021-07-16 14:04:00,80.42,65.4
2021-07-16 14:34:00,81.14,63.7
2021-07-16 15:04:00,81.5,63.1
2021-07-16 15:34:00,81.32,64
2021-07-16 16:04:00,81.32,64.1
2021-07-16 16:34:00,81.14,63.8
2021-07-16 17:04:00,80.96,63.7
2021-07-16 17:34:00,80.42,63.8
2021-07-16 18:04:00,80.24,63.9
2021-07-16 18:34:00,79.88,64
2021-07-16 19:04:00,79.52,63.9
2021-07-16 19:34:00,78.44,64.3
2021-07-16 20:04:00,77.72,64.8
2021-07-16 20:34:00,76.64,65.5
2021-07-16 21:04:00,76.28,65.7
2021-07-16 21:34:00,75.74,66.4
2021-07-16 22:04:00,75.2,66.9
2021-07-16 22:34:00,75.02,67.4
2021-07-16 23:04:00,74.66,67.7
2021-07-16 23:34:00,74.66,68.1
2021-07-17 00:04:00,73.94,68.9
2021-07-17 00:34:00,73.22,69.8
2021-07-17 01:04:00,72.68,70.2
2021-07-17 01:34:00,72.32,70.5
2021-07-17 02:04:00,72.32,70.3
2021-07-17 02:34:00,72.86,69.9
2021-07-17 03:04:00,72.68,69.7
2021-07-17 03:34:00,72.32,70.2
2021-07-17 04:04:00,72.32,70.2
2021-07-17 04:34:00,72.32,70.2
2021-07-17 05:04:00,71.78,70.9
2021-07-17 05:34:00,71.06,71.9
2021-07-17 06:04:00,70.88,72.1
2021-07-17 06:34:00,71.06,72
2021-07-17 07:04:00,71.96,71
2021-07-17 07:34:00,73.22,69.7
2021-07-17 08:04:00,74.66,68.7
2021-07-17 08:34:00,76.28,67.4
2021-07-17 09:04:00,76.64,67.5
2021-07-17 09:34:00,77.18,67.1
2021-07-17 10:04:00,78.26,66.5
2021-07-17 10:34:00,78.62,66.6
2021-07-17 11:04:00,78.8,66.3
2021-07-17 11:34:00,78.8,66.6
2021-07-17 12:04:00,78.62,66.9
2021-07-17 12:34:00,80.06,66.1
2021-07-17 13:04:00,80.6,66.5
2021-07-17 13:34:00,80.96,66.9
2021-07-17 14:04:00,80.6,67.6
2021-07-17 14:34:00,81.5,66.8
2021-07-17 15:04:00,82.04,67
2021-07-17 15:34:00,81.68,67.1
